Time(s),X-Position (X[2]),Y-Position (X[1]),Input U
2.99000000e+000,1.39104002e-002,-2.38396578e-002,9.47363930e-001
3.00000000e+000,1.36706574e-002,-2.42044321e-002,9.47629846e-001
3.01000000e+000,1.34272687e-002,-2.45703159e-002,9.47894400e-001
3.02000000e+000,1.31802229e-002,-2.49372847e-002,9.48157603e-001
3.03000000e+000,1.29295095e-002,-2.53053138e-002,9.48419463e-001
3.04000000e+000,1.26751179e-002,-2.56743781e-002,9.48679990e-001
3.05000000e+000,1.24170380e-002,-2.60444520e-002,9.48939193e-001
3.06000000e+000,1.21552599e-002,-2.64155098e-002,9.49197080e-001
3.07000000e+000,1.18897737e-002,-2.67875253e-002,9.49453660e-001
3.08000000e+000,1.16205702e-002,-2.71604720e-002,9.49708942e-001
3.09000000e+000,1.13476401e-002,-2.75343230e-002,9.49962934e-001
3.10000000e+000,1.10709746e-002,-2.79090512e-002,9.50215646e-001
3.11000000e+000,1.07905650e-002,-2.82846288e-002,9.50467086e-001
3.12000000e+000,1.05064031e-002,-2.86610280e-002,9.50717261e-001
3.13000000e+000,1.02184806e-002,-2.90382206e-002,9.50966181e-001
3.14000000e+000,9.92678997e-003,-2.94161777e-002,9.51213853e-001
3.15000000e+000,9.63132359e-003,-2.97948706e-002,9.51460286e-001
3.16000000e+000,9.33207431e-003,-3.01742697e-002,9.51705487e-001
3.17000000e+000,9.02903521e-003,-3.05543454e-002,9.51949466e-001
3.18000000e+000,8.72219970e-003,-3.09350675e-002,9.52192229e-001
3.19000000e+000,8.41156147e-003,-3.13164057e-002,9.52433784e-001
3.20000000e+000,8.09711454e-003,-3.16983291e-002,9.52674140e-001
3.21000000e+000,7.77885322e-003,-3.20808065e-002,9.52913304e-001
3.22000000e+000,7.45677213e-003,-3.24638064e-002,9.53151284e-001
3.23000000e+000,7.13086622e-003,-3.28472969e-002,9.53388086e-001
3.24000000e+000,6.80113075e-003,-3.32312458e-002,9.53623720e-001
3.25000000e+000,6.46756133e-003,-3.36156204e-002,9.53858191e-001
3.26000000e+000,6.13015385e-003,-3.40003877e-002,9.54091508e-001
3.27000000e+000,5.78890456e-003,-3.43855143e-002,9.54323678e-001
3.28000000e+000,5.44381006e-003,-3.47709665e-002,9.54554707e-001
3.29000000e+000,5.09486726e-003,-3.51567101e-002,9.54784604e-001
3.30000000e+000,4.74207342e-003,-3.55427109e-002,9.55013375e-001
3.31000000e+000,4.38542616e-003,-3.59289337e-002,9.55241027e-001
3.32000000e+000,4.02492342e-003,-3.63153436e-002,9.55467567e-001
3.33000000e+000,3.66056353e-003,-3.67019048e-002,9.55693003e-001
3.34000000e+000,3.29234515e-003,-3.70885814e-002,9.55917340e-001
3.35000000e+000,2.92026731e-003,-3.74753372e-002,9.56140587e-001
3.36000000e+000,2.54432941e-003,-3.78621353e-002,9.56362748e-001
3.37000000e+000,2.16453120e-003,-3.82489387e-002,9.56583832e-001
3.38000000e+000,1.78087282e-003,-3.86357101e-002,9.56803844e-001
3.39000000e+000,1.39335478e-003,-3.90224115e-002,9.57022792e-001
3.40000000e+000,1.00197797e-003,-3.94090048e-002,9.57240681e-001
3.41000000e+000,6.06743661e-004,-3.97954514e-002,9.57457519e-001
3.42000000e+000,2.07653508e-004,-4.01817123e-002,9.57673311e-001
3.43000000e+000,-1.95290438e-004,-4.05677484e-002,9.57888064e-001
3.44000000e+000,-6.02085735e-004,-4.09535199e-002,9.58101784e-001
3.45000000e+000,-1.01272954e-003,-4.13389867e-002,9.58314477e-001
3.46000000e+000,-1.42721862e-003,-4.17241085e-002,9.58526150e-001
3.47000000e+000,-1.84554931e-003,-4.21088443e-002,9.58736808e-001
3.48000000e+000,-2.26771757e-003,-4.24931532e-002,9.58946458e-001
3.49000000e+000,-2.69371892e-003,-4.28769934e-002,9.59155106e-001
3.50000000e+000,-3.12354848e-003,-4.32603231e-002,9.59362757e-001
3.51000000e+000,-3.55720095e-003,-4.36431000e-002,9.59569417e-001
3.52000000e+000,-3.99467058e-003,-4.40252814e-002,9.59775093e-001
3.53000000e+000,-4.43595123e-003,-4.44068244e-002,9.59979790e-001
3.54000000e+000,-4.88103631e-003,-4.47876854e-002,9.60183514e-001
3.55000000e+000,-5.32991879e-003,-4.51678207e-002,9.60386270e-001
3.56000000e+000,-5.78259121e-003,-4.55471862e-002,9.60588064e-001
3.57000000e+000,-6.23904566e-003,-4.59257374e-002,9.60788903e-001
3.58000000e+000,-6.69927379e-003,-4.63034293e-002,9.60988790e-001
3.59000000e+000,-7.16326680e-003,-4.66802167e-002,9.61187733e-001
3.60000000e+000,-7.63101544e-003,-4.70560539e-002,9.61385735e-001
3.61000000e+000,-8.10250999e-003,-4.74308950e-002,9.61582804e-001
3.62000000e+000,-8.57774029e-003,-4.78046936e-002,9.61778943e-001
3.63000000e+000,-9.05669568e-003,-4.81774030e-002,9.61974159e-001
3.64000000e+000,-9.53936508e-003,-4.85489760e-002,9.62168457e-001
3.65000000e+000,-1.00257369e-002,-4.89193652e-002,9.62361842e-001
3.66000000e+000,-1.05157991e-002,-4.92885228e-002,9.62554319e-001
3.67000000e+000,-1.10095391e-002,-4.96564006e-002,9.62745893e-001
3.68000000e+000,-1.15069439e-002,-5.00229501e-002,9.62936569e-001
3.69000000e+000,-1.20080001e-002,-5.03881222e-002,9.63126353e-001
3.70000000e+000,-1.25126936e-002,-5.07518677e-002,9.63315250e-001
3.71000000e+000,-1.30210099e-002,-5.11141371e-002,9.63503264e-001
3.72000000e+000,-1.35329341e-002,-5.14748802e-002,9.63690400e-001
3.73000000e+000,-1.40484506e-002,-5.18340468e-002,9.63876664e-001
3.74000000e+000,-1.45675436e-002,-5.21915861e-002,9.64062060e-001
3.75000000e+000,-1.50901964e-002,-5.25474471e-002,9.64246593e-001
3.76000000e+000,-1.56163921e-002,-5.29015784e-002,9.64430269e-001
3.77000000e+000,-1.61461132e-002,-5.32539281e-002,9.64613090e-001
